Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, D&D4, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 4, Dropzone Commander, World of Darkness Old, Weird & Wibbly, Not Entering,  ;
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, D&D4, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 4, Dropzone Commander, World of Darkness Old, Weird & Wibbly, Not Entering,  ;
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, D&D4, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 4, Dropzone Commander, World of Darkness Old, Weird & Wibbly, Not Entering,  ;
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, Humour, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, Humour, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, Humour, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 4, Humour, World of Darkness Old, Weird & Wibbly, Not Entering,  ;
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, Humour, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 4, Humour, World of Darkness Old, Weird & Wibbly, Not Entering,  ;
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Team Name,University,Team Captain,Contact Number,Contact Email,Team Member,Choice 1,Choice 2,Choice 3,Painting Choice,Notes
Let's Try Again,,Myself,321839012,dqw@gmail.com, Mr Man 1, AD&D, Anime, D&D4, Group of Models, dasdsdwq; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, Miss Man 2, Diceless, Dark Future, AD&D, Not Entering, djwqiejiowqueoiwquoe; 
Let's Try Again,,Myself,321839012,dqw@gmail.com, A small Child, World of Darkness Old, Weird & Wibbly, Competative Boardgames, Not Entering, dsqdqweqw;
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 1, Humour, Indie, Myths & Legends, Group of Models, TEsting; with a bunch! of random: useless? characters. How am() I going {} to check % this \ /; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 2, Action and Adventure, Anime, Call of Cthulhu, Single Miniature, More testing some crap!; 
Test Team,Test Uni,Bleh,45683621,dsa@gmail.com, Name 3, Humour, D&D3.5/Pathfinder, Dark Future, Group of Models,  ; 
